customer_id,signup_date,plan,monthly_price,apps_used,monthly_logins,support_tickets,seats,company_size,industry,country,tenure_months,churned,churn_month,upsell_flag
ZHO-00031,2022-01-21,Standard,20,1,10,0,1,51-200,Manufacturing,Germany,40,0,,0
ZHO-00032,2024-04-20,Standard,20,1,10,1,3,11-50,Real Estate,India,13,1,7.0,0
ZHO-00033,2022-06-16,Enterprise,50,4,13,1,43,1-10,Real Estate,United States,36,0,,1
ZHO-00034,2023-01-23,Zoho One,105,8,40,2,84,11-50,Retail,Germany,28,0,,0
ZHO-00035,2023-08-24,Professional,35,4,15,2,9,201-500,Real Estate,Canada,21,0,,1
ZHO-00036,2022-11-12,Standard,20,2,10,1,3,11-50,Retail,United States,31,0,,0
ZHO-00037,2022-01-14,Free,0,1,3,0,2,51-200,Healthcare,United Kingdom,41,1,23.0,0
ZHO-00038,2022-08-30,Zoho One,105,16,48,0,8,1-10,Consulting,UAE,33,0,,0
ZHO-00039,2024-02-16,Free,0,1,3,0,1,51-200,Retail,Canada,15,1,2.0,0
ZHO-00040,2023-07-19,Standard,20,1,8,1,4,201-500,Consulting,United States,22,0,,0
ZHO-00041,2024-06-16,Standard,20,1,4,2,3,11-50,Real Estate,United Kingdom,11,1,5.0,0
ZHO-00042,2022-04-02,Standard,20,2,7,2,4,11-50,Consulting,India,38,0,,0
ZHO-00043,2024-08-13,Standard,20,1,12,0,3,11-50,Finance,United States,9,0,,0
ZHO-00044,2023-05-24,Enterprise,50,4,24,3,43,201-500,Education,India,24,0,,1
ZHO-00045,2024-02-15,Free,0,1,3,0,2,1-10,Real Estate,United States,15,1,2.0,0
ZHO-00046,2022-02-04,Professional,35,3,26,2,9,11-50,Technology,United Kingdom,40,0,,0
ZHO-00047,2022-07-25,Free,0,1,1,0,2,1-10,Manufacturing,India,34,1,4.0,0
ZHO-00048,2024-10-22,Free,0,1,2,0,1,11-50,Education,India,7,1,2.0,0
ZHO-00049,2024-10-18,Zoho One,105,14,65,3,95,11-50,Healthcare,United States,7,0,,0
ZHO-00050,2023-07-20,Standard,20,2,9,0,4,201-500,Education,India,22,0,,0
ZHO-00051,2023-12-04,Enterprise,50,7,21,4,17,11-50,Technology,United States,18,0,,1
ZHO-00052,2023-02-06,Professional,35,4,9,4,11,11-50,Real Estate,UAE,28,0,,1
ZHO-00053,2023-12-31,Free,0,1,4,0,1,201-500,Consulting,United Kingdom,17,1,6.0,0
ZHO-00054,2022-06-11,Zoho One,105,11,48,4,9,11-50,Manufacturing,India,36,0,,0
ZHO-00055,2022-07-21,Standard,20,1,4,1,3,51-200,Technology,India,34,1,12.0,0
ZHO-00056,2024-09-22,Enterprise,50,7,22,2,27,51-200,Healthcare,United States,8,0,,1
ZHO-00057,2022-09-27,Standard,20,2,7,1,2,11-50,Technology,United Kingdom,32,0,,0
ZHO-00058,2024-03-26,Enterprise,50,3,23,5,49,1-10,Retail,United States,14,0,,1
ZHO-00059,2023-04-01,Free,0,1,2,0,2,11-50,Manufacturing,India,26,1,5.0,0
ZHO-00060,2024-10-13,Professional,35,3,22,2,12,11-50,Manufacturing,India,7,0,,1
ZHO-00061,2022-10-23,Enterprise,50,6,30,2,19,1-10,Education,India,31,0,,1
ZHO-00062,2023-12-21,Zoho One,105,16,37,4,65,500+,Finance,United States,17,0,,0
ZHO-00063,2022-12-04,Zoho One,105,19,41,4,44,11-50,Finance,Australia,30,0,,0
ZHO-00064,2024-05-28,Enterprise,50,4,20,4,21,201-500,Finance,Canada,12,0,,1
ZHO-00065,2024-12-12,Enterprise,50,6,16,4,31,1-10,Healthcare,United States,5,1,1.0,0
ZHO-00066,2024-03-02,Standard,20,1,7,1,3,201-500,Finance,Australia,15,1,7.0,0
ZHO-00067,2022-08-05,Standard,20,2,8,0,3,51-200,Consulting,Singapore,34,0,,0
ZHO-00068,2024-02-03,Standard,20,1,13,0,2,51-200,Manufacturing,United Kingdom,16,0,,0
ZHO-00069,2022-07-07,Standard,20,1,11,0,1,11-50,Real Estate,United Kingdom,35,0,,0
ZHO-00070,2023-01-15,Standard,20,2,11,0,2,11-50,Manufacturing,Germany,28,1,8.0,0
ZHO-00071,2023-05-08,Professional,35,2,17,2,11,11-50,Education,India,25,0,,1
ZHO-00072,2024-11-30,Standard,20,1,4,0,4,51-200,Technology,India,6,0,,0
ZHO-00073,2022-01-15,Professional,35,2,14,2,7,51-200,Retail,Singapore,41,1,11.0,0
ZHO-00074,2022-03-06,Standard,20,1,11,2,4,1-10,Real Estate,United States,39,1,7.0,0
ZHO-00075,2023-06-05,Standard,20,2,4,0,2,201-500,Finance,Australia,24,1,12.0,0
ZHO-00076,2023-10-10,Professional,35,2,18,0,13,201-500,Finance,Canada,20,0,,1
ZHO-00077,2024-12-22,Enterprise,50,4,40,3,47,11-50,Real Estate,United States,5,0,,1
ZHO-00078,2023-08-16,Enterprise,50,7,31,3,29,1-10,Consulting,United States,21,0,,1
ZHO-00079,2023-01-27,Professional,35,2,22,1,6,51-200,Finance,United States,28,0,,0
ZHO-00080,2023-02-23,Standard,20,2,9,0,4,11-50,Retail,India,27,1,10.0,0
ZHO-00081,2022-10-16,Professional,35,3,20,0,7,51-200,Education,India,31,0,,0
ZHO-00082,2023-01-14,Free,0,1,2,1,2,51-200,Real Estate,United States,28,1,1.0,0
ZHO-00083,2022-08-19,Standard,20,2,11,1,2,1-10,Real Estate,India,33,0,,0
ZHO-00084,2024-10-14,Standard,20,1,10,0,3,11-50,Consulting,India,7,1,1.0,0
ZHO-00085,2022-02-10,Free,0,1,3,0,1,11-50,Finance,India,40,1,15.0,0
ZHO-00086,2024-11-17,Standard,20,2,13,0,1,201-500,Technology,United Kingdom,6,0,,0
ZHO-00087,2022-05-15,Zoho One,105,16,35,3,88,1-10,Healthcare,Germany,37,0,,0
ZHO-00088,2022-07-20,Zoho One,105,12,38,2,75,1-10,Retail,United States,34,0,,0
ZHO-00089,2024-02-19,Standard,20,1,8,2,3,201-500,Education,United States,15,0,,0
ZHO-00090,2024-07-18,Free,0,1,2,0,1,1-10,Manufacturing,Singapore,10,1,5.0,0
ZHO-00091,2024-11-22,Standard,20,1,9,2,3,51-200,Technology,India,6,0,,0
ZHO-00092,2024-12-07,Standard,20,2,3,0,1,11-50,Retail,India,5,0,,0
ZHO-00093,2023-05-18,Zoho One,105,8,53,0,83,11-50,Manufacturing,India,24,0,,0
ZHO-00094,2023-02-11,Free,0,1,3,0,1,11-50,Retail,United States,28,1,13.0,0
ZHO-00095,2024-03-15,Enterprise,50,3,17,0,22,11-50,Healthcare,India,14,0,,1
ZHO-00096,2022-04-09,Free,0,1,2,0,2,500+,Consulting,India,38,1,17.0,0
ZHO-00097,2023-11-15,Zoho One,105,15,39,2,92,1-10,Healthcare,India,18,0,,0
ZHO-00098,2023-12-27,Standard,20,2,11,3,3,11-50,Manufacturing,United States,17,0,,0
ZHO-00099,2024-08-18,Enterprise,50,4,26,3,33,11-50,Consulting,United States,9,0,,1
ZHO-00100,2023-09-05,Standard,20,2,6,0,2,11-50,Manufacturing,United States,21,1,1.0,0
ZHO-00101,2023-10-05,Professional,35,2,10,3,12,11-50,Education,United States,20,0,,0
ZHO-00102,2024-10-25,Standard,20,2,11,0,3,1-10,Finance,India,7,0,,0
ZHO-00103,2023-05-18,Free,0,1,2,0,1,201-500,Real Estate,Canada,24,1,2.0,0
ZHO-00104,2024-02-06,Zoho One,105,16,43,3,28,11-50,Manufacturing,United States,16,0,,0
ZHO-00105,2023-02-02,Zoho One,105,17,45,2,23,11-50,Consulting,India,28,0,,0
ZHO-00106,2024-05-20,Enterprise,50,5,24,2,26,11-50,Healthcare,India,12,0,,1
ZHO-00107,2024-03-05,Professional,35,4,20,0,7,1-10,Education,Australia,15,0,,1
ZHO-00108,2023-01-28,Enterprise,50,4,11,2,13,1-10,Retail,United Kingdom,28,0,,1
ZHO-00109,2022-07-26,Free,0,1,1,0,2,1-10,Real Estate,United States,34,1,2.0,0
ZHO-00110,2024-11-04,Standard,20,1,6,0,2,1-10,Finance,India,6,0,,0
ZHO-00111,2024-06-10,Standard,20,2,14,2,2,1-10,Technology,United States,11,0,,0
ZHO-00112,2024-05-13,Professional,35,3,26,2,7,11-50,Retail,United States,12,0,,0
ZHO-00113,2024-01-13,Standard,20,1,14,0,1,11-50,Real Estate,Germany,16,0,,0
ZHO-00114,2023-07-18,Free,0,1,3,1,2,11-50,Education,United States,22,1,3.0,0
ZHO-00115,2024-10-17,Professional,35,2,5,3,13,1-10,Technology,India,7,1,4.0,0
ZHO-00116,2022-04-06,Enterprise,50,6,4,1,20,201-500,Real Estate,India,38,0,,1
ZHO-00117,2023-04-30,Standard,20,2,7,0,3,51-200,Retail,India,25,0,,0
ZHO-00118,2022-08-19,Free,0,1,3,0,2,500+,Healthcare,United Kingdom,33,1,5.0,0
ZHO-00119,2024-01-19,Standard,20,2,13,0,2,11-50,Education,India,16,0,,0
ZHO-00120,2023-06-25,Standard,20,2,11,0,3,51-200,Technology,United States,23,0,,0
ZHO-00121,2024-11-25,Standard,20,2,9,0,3,1-10,Consulting,United Kingdom,6,0,,0
ZHO-00122,2023-06-09,Professional,35,4,11,1,8,51-200,Manufacturing,India,24,0,,0
ZHO-00123,2023-08-01,Professional,35,3,10,3,14,1-10,Healthcare,United Kingdom,22,0,,0
ZHO-00124,2023-11-13,Professional,35,2,16,0,13,11-50,Manufacturing,United States,18,0,,1
ZHO-00125,2023-07-11,Standard,20,1,10,1,4,11-50,Manufacturing,United States,23,0,,0
ZHO-00126,2024-10-09,Enterprise,50,6,26,4,13,11-50,Technology,Germany,7,0,,1
ZHO-00127,2023-10-08,Standard,20,1,5,0,1,11-50,Finance,United Kingdom,20,1,1.0,0
ZHO-00128,2024-03-06,Professional,35,4,19,3,8,1-10,Real Estate,United States,15,0,,1
ZHO-00129,2024-11-17,Enterprise,50,4,25,2,28,11-50,Real Estate,Australia,6,0,,1
ZHO-00130,2022-07-09,Standard,20,2,5,1,1,201-500,Consulting,United Kingdom,35,1,7.0,0
ZHO-00131,2023-09-25,Free,0,1,2,0,2,201-500,Finance,Australia,20,1,10.0,0
ZHO-00132,2023-09-20,Enterprise,50,4,27,1,49,11-50,Education,United States,20,1,1.0,0
ZHO-00133,2024-08-30,Standard,20,2,8,2,4,11-50,Technology,United States,9,1,4.0,0
ZHO-00134,2023-12-11,Professional,35,4,24,1,9,1-10,Real Estate,India,17,0,,1
ZHO-00135,2023-10-11,Free,0,1,4,0,2,1-10,Finance,United Kingdom,19,0,,0
ZHO-00136,2022-11-14,Professional,35,2,12,1,14,1-10,Retail,India,31,0,,0
ZHO-00137,2023-11-15,Standard,20,2,8,0,3,11-50,Retail,Canada,18,0,,0
ZHO-00138,2023-10-26,Free,0,1,3,1,2,51-200,Finance,United States,19,1,5.0,0
ZHO-00139,2023-03-18,Professional,35,2,10,1,10,11-50,Real Estate,United States,26,0,,0
ZHO-00140,2023-07-18,Standard,20,2,6,1,2,1-10,Manufacturing,United States,22,1,8.0,0
ZHO-00141,2024-08-09,Standard,20,2,11,0,4,11-50,Manufacturing,United States,9,1,2.0,0
ZHO-00142,2023-11-30,Free,0,1,4,0,2,1-10,Finance,United Kingdom,18,1,6.0,0
ZHO-00143,2022-04-23,Free,0,1,4,0,2,51-200,Education,United States,37,1,15.0,0
ZHO-00144,2022-01-02,Standard,20,2,13,0,4,1-10,Manufacturing,India,41,0,,0
ZHO-00145,2023-10-04,Free,0,1,2,0,1,11-50,Education,India,20,1,11.0,0
ZHO-00146,2022-08-08,Zoho One,105,10,63,2,67,51-200,Retail,Canada,34,0,,0
ZHO-00147,2024-05-04,Free,0,1,2,0,1,1-10,Healthcare,Germany,13,1,4.0,0
ZHO-00148,2023-01-20,Professional,35,2,9,4,12,1-10,Technology,India,28,1,1.0,0
ZHO-00149,2024-12-12,Free,0,1,1,1,1,11-50,Healthcare,India,5,1,1.0,0
ZHO-00150,2023-12-31,Standard,20,2,7,0,3,1-10,Education,India,17,1,3.0,0
ZHO-00151,2022-09-04,Zoho One,105,10,32,3,21,11-50,Consulting,UAE,33,0,,0
ZHO-00152,2024-04-15,Standard,20,2,10,1,2,51-200,Consulting,India,13,0,,0
ZHO-00153,2022-07-22,Zoho One,105,17,46,1,30,11-50,Manufacturing,India,34,0,,0
ZHO-00154,2022-05-03,Standard,20,2,5,3,3,11-50,Healthcare,India,37,0,,0
ZHO-00155,2023-02-05,Enterprise,50,3,18,1,44,201-500,Education,United Kingdom,28,0,,1
ZHO-00156,2024-02-06,Professional,35,2,12,0,7,11-50,Real Estate,Germany,16,0,,0
ZHO-00157,2022-10-21,Enterprise,50,4,7,2,26,500+,Healthcare,United States,31,0,,1
ZHO-00158,2022-10-07,Professional,35,4,10,3,12,1-10,Retail,India,32,1,18.0,0
ZHO-00159,2024-06-02,Professional,35,4,11,2,5,51-200,Consulting,United States,12,0,,0
ZHO-00160,2022-07-17,Standard,20,2,13,0,3,51-200,Education,India,35,1,7.0,0
ZHO-00161,2024-09-08,Standard,20,1,9,0,4,201-500,Retail,India,8,0,,0
ZHO-00162,2024-01-22,Zoho One,105,12,50,1,88,1-10,Healthcare,Germany,16,0,,0
ZHO-00163,2022-05-24,Standard,20,2,4,1,3,1-10,Finance,Germany,36,1,20.0,0
ZHO-00164,2023-09-01,Standard,20,2,12,1,1,1-10,Finance,Singapore,21,0,,0
ZHO-00165,2022-07-06,Enterprise,50,7,33,2,18,201-500,Technology,United States,35,0,,1
ZHO-00166,2023-04-09,Standard,20,2,2,0,3,11-50,Consulting,India,26,0,,0
ZHO-00167,2023-10-22,Zoho One,105,8,29,2,22,201-500,Real Estate,Australia,19,0,,0
ZHO-00168,2024-02-03,Enterprise,50,3,25,3,38,1-10,Finance,India,16,0,,1
ZHO-00169,2024-08-12,Professional,35,3,19,1,13,1-10,Real Estate,India,9,0,,1
ZHO-00170,2023-02-07,Enterprise,50,5,17,0,17,1-10,Technology,India,28,0,,1
ZHO-00171,2022-05-27,Free,0,1,3,0,1,11-50,Healthcare,UAE,36,1,4.0,0
ZHO-00172,2024-05-13,Standard,20,1,6,2,2,51-200,Consulting,United Kingdom,12,1,2.0,0
ZHO-00173,2023-05-04,Professional,35,3,16,6,9,11-50,Consulting,India,25,1,12.0,0
ZHO-00174,2024-07-17,Standard,20,2,12,3,1,201-500,Technology,India,10,0,,0
ZHO-00175,2023-07-05,Enterprise,50,6,16,3,19,1-10,Technology,Canada,23,0,,1
ZHO-00176,2022-12-04,Zoho One,105,17,57,2,42,51-200,Consulting,Australia,30,0,,0
ZHO-00177,2024-05-21,Standard,20,1,5,0,4,51-200,Technology,United Kingdom,12,0,,0
ZHO-00178,2023-10-03,Standard,20,1,5,0,3,1-10,Real Estate,India,20,1,3.0,0
ZHO-00179,2023-04-18,Zoho One,105,19,55,1,72,1-10,Retail,United States,25,0,,0
ZHO-00180,2022-05-31,Standard,20,2,11,0,1,11-50,Real Estate,United States,36,0,,0
ZHO-00181,2022-09-20,Professional,35,2,19,5,14,1-10,Real Estate,UAE,32,0,,1
ZHO-00182,2022-05-24,Standard,20,1,4,2,1,201-500,Technology,India,36,1,1.0,0
ZHO-00183,2022-12-12,Zoho One,105,8,32,3,47,500+,Manufacturing,United States,30,0,,0
ZHO-00184,2023-09-16,Professional,35,2,19,1,14,51-200,Consulting,India,20,0,,1
ZHO-00185,2024-10-13,Enterprise,50,5,22,4,23,51-200,Education,United States,7,0,,1
ZHO-00186,2024-05-30,Enterprise,50,3,12,2,29,1-10,Healthcare,India,12,0,,0
ZHO-00187,2022-01-02,Standard,20,2,10,0,3,1-10,Retail,Canada,41,1,16.0,0
ZHO-00188,2024-06-15,Standard,20,2,6,1,4,51-200,Education,India,11,1,2.0,0
ZHO-00189,2022-09-11,Enterprise,50,3,35,1,36,11-50,Healthcare,United States,33,0,,1
ZHO-00190,2023-03-29,Standard,20,2,13,1,1,51-200,Real Estate,United States,26,0,,0
ZHO-00191,2024-11-26,Enterprise,50,4,26,2,30,51-200,Consulting,Canada,6,0,,1
ZHO-00192,2024-10-11,Zoho One,105,12,60,3,52,11-50,Consulting,Australia,7,0,,0
ZHO-00193,2022-01-09,Professional,35,4,16,5,10,1-10,Retail,India,41,0,,1
ZHO-00194,2024-03-26,Enterprise,50,7,29,4,44,51-200,Real Estate,India,14,0,,1
ZHO-00195,2022-07-27,Enterprise,50,4,33,1,48,11-50,Healthcare,United States,34,0,,1
ZHO-00196,2023-02-08,Enterprise,50,7,25,2,24,51-200,Finance,United States,28,0,,1
ZHO-00197,2022-06-01,Standard,20,1,7,0,3,11-50,Healthcare,India,36,0,,0
ZHO-00198,2022-02-23,Free,0,1,1,0,2,1-10,Finance,Australia,39,1,20.0,0
ZHO-00199,2023-09-20,Standard,20,2,8,0,1,1-10,Real Estate,India,20,1,8.0,0
ZHO-00200,2023-08-10,Professional,35,2,19,1,4,51-200,Consulting,Singapore,22,0,,0
ZHO-00201,2022-04-14,Professional,35,2,20,0,10,11-50,Finance,India,38,0,,1
ZHO-00202,2022-09-11,Enterprise,50,3,25,2,46,11-50,Manufacturing,India,33,0,,1
ZHO-00203,2023-05-25,Standard,20,1,6,2,2,11-50,Healthcare,India,24,0,,0
ZHO-00204,2022-04-09,Professional,35,2,3,2,5,11-50,Real Estate,United States,38,1,13.0,0
ZHO-00205,2022-06-02,Standard,20,2,7,0,2,1-10,Consulting,India,36,0,,0
ZHO-00206,2024-07-02,Enterprise,50,6,20,4,38,11-50,Real Estate,United Kingdom,11,0,,1
ZHO-00207,2024-05-27,Professional,35,3,13,1,3,1-10,Finance,United States,12,0,,0
ZHO-00208,2022-12-04,Standard,20,2,10,2,2,11-50,Manufacturing,India,30,0,,0
ZHO-00209,2024-04-01,Standard,20,1,14,2,4,11-50,Retail,Germany,14,1,6.0,0
ZHO-00210,2024-08-14,Enterprise,50,3,22,6,40,1-10,Finance,UAE,9,1,1.0,0
ZHO-00211,2022-06-10,Professional,35,2,13,1,12,11-50,Technology,United States,36,0,,0
ZHO-00212,2024-03-11,Standard,20,2,8,1,2,11-50,Retail,Australia,14,0,,0
ZHO-00213,2023-02-02,Zoho One,105,12,42,5,34,1-10,Real Estate,India,28,0,,0
ZHO-00214,2024-03-26,Enterprise,50,7,16,3,35,500+,Consulting,India,14,0,,1
ZHO-00215,2023-02-05,Zoho One,105,15,44,5,16,1-10,Consulting,India,28,0,,0
ZHO-00216,2023-10-02,Standard,20,1,9,0,3,11-50,Manufacturing,Singapore,20,1,8.0,0
ZHO-00217,2024-11-22,Professional,35,3,16,1,10,1-10,Consulting,United States,6,0,,1
ZHO-00218,2023-11-19,Enterprise,50,4,25,6,14,51-200,Retail,India,18,0,,1
ZHO-00219,2023-04-05,Professional,35,2,17,1,11,201-500,Consulting,United States,26,0,,1
ZHO-00220,2024-08-12,Enterprise,50,5,8,0,20,11-50,Retail,India,9,0,,1
ZHO-00221,2023-04-15,Standard,20,2,11,1,3,51-200,Real Estate,India,25,0,,0
ZHO-00222,2024-11-11,Standard,20,2,6,0,3,1-10,Technology,United States,6,0,,0
ZHO-00223,2024-01-20,Free,0,1,2,0,1,1-10,Technology,India,16,1,8.0,0
ZHO-00224,2022-02-07,Standard,20,2,5,3,3,11-50,Technology,India,40,1,9.0,0
ZHO-00225,2022-08-18,Free,0,1,4,1,1,11-50,Technology,India,33,1,14.0,0
ZHO-00226,2023-07-17,Free,0,1,3,0,1,11-50,Manufacturing,United States,22,1,5.0,0
ZHO-00227,2023-03-14,Zoho One,105,9,15,6,91,11-50,Consulting,United Kingdom,27,0,,0
ZHO-00228,2022-01-27,Standard,20,2,10,1,3,11-50,Technology,United States,40,0,,0
ZHO-00229,2022-08-14,Professional,35,2,6,3,9,51-200,Consulting,United Kingdom,34,1,6.0,0
ZHO-00230,2024-03-08,Enterprise,50,3,22,1,18,1-10,Manufacturing,India,15,0,,1
ZHO-00231,2022-10-11,Professional,35,3,16,3,4,1-10,Manufacturing,India,32,0,,0
ZHO-00232,2024-05-28,Standard,20,1,11,1,3,11-50,Education,Canada,12,1,2.0,0
ZHO-00233,2024-08-17,Enterprise,50,3,35,1,27,11-50,Real Estate,India,9,0,,1
ZHO-00234,2023-03-29,Professional,35,3,7,3,12,1-10,Education,United States,26,0,,0
ZHO-00235,2024-10-16,Enterprise,50,3,21,2,35,1-10,Consulting,UAE,7,1,3.0,0
ZHO-00236,2024-03-26,Enterprise,50,4,19,2,27,11-50,Technology,United States,14,0,,1
ZHO-00237,2023-10-21,Zoho One,105,13,47,6,89,1-10,Manufacturing,India,19,0,,0
ZHO-00238,2023-07-01,Professional,35,4,17,1,11,201-500,Retail,UAE,23,0,,1
ZHO-00239,2024-12-08,Standard,20,2,7,1,1,1-10,Finance,India,5,0,,0
ZHO-00240,2022-01-17,Professional,35,2,12,4,12,1-10,Finance,United Kingdom,41,0,,0
ZHO-00241,2022-06-07,Free,0,1,2,0,1,11-50,Consulting,India,36,1,13.0,0
ZHO-00242,2023-04-22,Enterprise,50,5,30,4,23,500+,Education,United States,25,0,,1
ZHO-00243,2024-12-05,Free,0,1,4,0,1,11-50,Technology,United States,5,1,1.0,0
ZHO-00244,2023-06-02,Standard,20,2,11,3,2,11-50,Healthcare,United States,24,1,4.0,0
ZHO-00245,2022-04-09,Enterprise,50,7,21,3,19,1-10,Finance,Australia,38,0,,1
ZHO-00246,2024-11-26,Professional,35,3,11,3,14,11-50,Real Estate,UAE,6,0,,0
ZHO-00247,2022-10-07,Standard,20,1,5,0,2,1-10,Real Estate,India,32,1,2.0,0
ZHO-00248,2023-05-12,Professional,35,4,18,1,5,11-50,Manufacturing,Australia,25,0,,1
ZHO-00249,2022-10-29,Enterprise,50,7,15,2,35,11-50,Real Estate,India,31,0,,1
ZHO-00250,2022-06-30,Standard,20,2,14,1,2,1-10,Manufacturing,India,35,0,,0
ZHO-00251,2023-08-30,Enterprise,50,4,11,2,26,1-10,Finance,UAE,21,0,,1
ZHO-00252,2023-12-01,Free,0,1,3,1,2,51-200,Retail,United States,18,1,8.0,0
ZHO-00253,2024-09-19,Enterprise,50,5,35,4,23,11-50,Finance,India,8,0,,1
ZHO-00254,2022-07-10,Enterprise,50,6,27,2,35,51-200,Education,United States,35,0,,1
ZHO-00255,2022-09-10,Standard,20,2,9,0,2,1-10,Real Estate,India,33,1,5.0,0
ZHO-00256,2024-09-07,Standard,20,2,5,0,2,51-200,Consulting,United States,8,0,,0
ZHO-00257,2024-07-16,Standard,20,2,4,2,4,1-10,Technology,United States,10,1,4.0,0
ZHO-00258,2022-05-08,Enterprise,50,7,29,2,28,1-10,Technology,Canada,37,0,,1
ZHO-00259,2022-01-18,Professional,35,3,23,2,10,51-200,Consulting,India,41,0,,1
ZHO-00260,2023-07-20,Professional,35,2,12,3,10,51-200,Manufacturing,India,22,0,,0
ZHO-00261,2023-07-24,Standard,20,1,4,0,2,11-50,Finance,India,22,1,5.0,0
ZHO-00262,2023-11-17,Standard,20,2,1,0,4,51-200,Healthcare,India,18,0,,0
ZHO-00263,2023-09-18,Free,0,1,2,0,1,51-200,Education,UAE,20,1,5.0,0
ZHO-00264,2024-05-03,Standard,20,2,8,0,1,11-50,Manufacturing,UAE,13,0,,0
ZHO-00265,2024-08-19,Professional,35,2,23,2,4,201-500,Finance,United Kingdom,9,0,,0
ZHO-00266,2022-06-04,Enterprise,50,7,28,2,31,11-50,Consulting,United States,36,0,,1
ZHO-00267,2023-05-05,Professional,35,2,16,1,9,11-50,Education,Canada,25,0,,0
ZHO-00268,2024-02-24,Standard,20,2,7,1,1,11-50,Consulting,India,15,1,7.0,0
ZHO-00269,2022-09-03,Zoho One,105,16,34,1,10,11-50,Healthcare,India,33,0,,0
ZHO-00270,2024-11-28,Enterprise,50,5,33,1,25,51-200,Manufacturing,India,6,1,2.0,0
ZHO-00271,2024-01-29,Zoho One,105,19,47,5,76,1-10,Real Estate,Canada,16,0,,0
ZHO-00272,2023-06-22,Professional,35,2,3,2,9,1-10,Education,United States,23,1,6.0,0
ZHO-00273,2024-07-09,Standard,20,2,6,0,2,201-500,Manufacturing,United States,10,0,,0
ZHO-00274,2023-02-12,Free,0,1,2,0,2,51-200,Education,India,28,1,10.0,0
ZHO-00275,2023-06-09,Enterprise,50,3,17,2,45,11-50,Education,United States,24,0,,1
ZHO-00276,2024-04-07,Free,0,1,4,0,1,1-10,Real Estate,Germany,14,1,2.0,0
ZHO-00277,2024-06-21,Standard,20,2,8,0,1,51-200,Manufacturing,India,11,0,,0
ZHO-00278,2022-02-05,Professional,35,3,15,0,7,1-10,Technology,United States,40,0,,0
